code,city,generalHouseholds,singleHouseholds,singleShare,shareRank,countRank
R13203,武蔵野市,77966,39402,50.537414,1,8
R13210,小金井市,63140,30485,48.281596,2,11
R13219,狛江市,42578,20347,47.787590,3,16
R13204,三鷹市,96116,45726,47.573765,4,5
R13208,調布市,120790,57424,47.540359,5,3
R13215,国立市,38227,17924,46.888325,6,19
R13214,国分寺市,63916,29880,46.748858,7,12
R13218,福生市,28117,13054,46.427428,8,22
R13202,立川市,89599,40896,45.643367,9,6
R13206,府中市,123766,54568,44.089653,10,4
R13212,日野市,90257,39135,43.359518,11,9
R13211,小平市,91125,38015,41.717421,12,10
R13221,清瀬市,34918,14500,41.525861,13,20
R13201,八王子市,266549,110686,41.525573,14,1
R13229,西東京市,96896,39856,41.132761,15,7
R13207,昭島市,52111,20446,39.235478,16,15
R13224,多摩市,68354,26359,38.562484,17,13
R13213,東村山市,68340,26136,38.244074,18,14
R13209,町田市,191703,71308,37.197123,19,2
R13227,羽村市,23789,8499,35.726596,20,26
R13222,東久留米市,51146,18148,35.482736,21,18
R13225,稲城市,39880,13933,34.937312,22,21
R13205,青梅市,56354,19099,33.891117,23,17
R13223,武蔵村山市,29956,9892,33.021765,24,24
R13220,東大和市,36291,11781,32.462594,25,23
R13228,あきる野市,31840,8856,27.814070,26,25
